"Citra_Tubuh.butir_1","Citra_Tubuh.butir_2","Citra_Tubuh.butir_3","Citra_Tubuh.butir_4","Citra_Tubuh.butir_A5","Citra_Tubuh.butir_6","Citra_Tubuh.butir_7","Citra_Tubuh.butir_8","Citra_Tubuh.butir_9","Citra_Tubuh.butir_A10","Citra_Tubuh.butir_11","Citra_Tubuh.butir_12","Citra_Tubuh.butir_13","Citra_Tubuh.butir_14","Citra_Tubuh.butir_15","Citra_Tubuh.butir_16","Citra_Tubuh.butir_A17","Citra_Tubuh.butir_18","Harga_Diri.butir_19","Harga_Diri.butir_20","Harga_Diri.butir_21","Harga_Diri.butir_22","Harga_Diri.butir_A23","Harga_Diri.butir_24","Harga_Diri.butir_25","Harga_Diri.butir_26","Harga_Diri.butir_27","Harga_Diri.butir_28","Harga_Diri.butir_29","Harga_Diri.butir_30","Harga_Diri.butir_31","Harga_Diri.butir_A32","Harga_Diri.butir_33","Harga_Diri.butir_34","Harga_Diri.butir_A35","Harga_Diri.butir_36","Harga_Diri.butir_37","Harga_Diri.butir_38","Harga_Diri.butir_39","Harga_Diri.butir_40","Harga_Diri.butir_41","Harga_Diri.butir_42","Harga_Diri.butir_43","Harga_Diri.butir_44","Harga_Diri.butir_45","Harga_Diri.butir_46","Harga_Diri.butir_A47","Harga_Diri.butir_48","Harga_Diri.butir_49","Harga_Diri.butir_50","Harga_Diri.butir_51","Harga_Diri.butir_A52","Harga_Diri.butir_53","Harga_Diri.butir_54","Ideal_Diri.butir_55","Ideal_Diri.butir_A56","Ideal_Diri.butir_57","Ideal_Diri.butir_A58","Ideal_Diri.butir_59","Ideal_Diri.butir_60","Ideal_Diri.butir_61","Ideal_Diri.butir_62","Ideal_Diri.butir_63","Ideal_Diri.butir_A64","Ideal_Diri.butir_65","Ideal_Diri.butir_66","Identitas_Diri.butir_67","Identitas_Diri.butir_A68","Identitas_Diri.butir_69","Identitas_Diri.butir_70","Identitas_Diri.butir_71","Identitas_Diri.butir_72","Identitas_Diri.butir_73","Identitas_Diri.butir_A74","Identitas_Diri.butir_A75","Identitas_Diri.butir_76","Identitas_Diri.butir_77","Identitas_Diri.butir_78","Identitas_Diri.butir_A79","Identitas_Diri.butir_80","Identitas_Diri.butir_81","Identitas_Diri.butir_82","Identitas_Diri.butir_83","Peran_Diri.butir_A84","Peran_Diri.butir_85","Peran_Diri.butir_86","Peran_Diri.butir_87","Peran_Diri.butir_88","Peran_Diri.butir_89","Peran_Diri.butir_90","Peran_Diri.butir_A91","Peran_Diri.butir_92","Peran_Diri.butir_93","Peran_Diri.butir_A94","Peran_Diri.butir_95"
3,2,3,3,4,3,3,3,3,3,3,3,3,2,3,3,2,3,4,4,4,4,4,2,4,3,3,4,4,4,4,4,4,4,3,4,4,4,2,2,3,4,2,3,3,3,4,4,2,4,4,4,4,4,3,4,4,3,2,2,4,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,3,3,3,3,3,3,2,2,2,3
3,1,3,2,3,4,2,3,3,3,3,2,3,2,3,3,1,4,4,4,4,4,4,3,4,3,4,4,4,4,3,3,4,4,3,4,3,3,2,3,2,3,3,4,2,3,4,3,2,3,4,4,4,3,3,4,4,4,3,2,4,4,3,4,3,4,4,4,3,2,4,4,4,4,4,4,4,4,4,1,3,3,4,4,3,3,2,4,3,4,3,4,2,2,3
1,2,3,3,3,3,2,2,2,2,2,3,3,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,2,3,2,3,2,3,3,3,2,3,4,4,4,4,2,3,3,3,2,2,2,3,3,3,3,3,4,4,4,3,4,3,4,3,4,4,4,3,3,4,3,3,3,4,3,2,3,4,4,2,3,4,2,2,3
3,2,3,4,3,3,2,3,2,2,2,1,2,2,3,4,3,3,3,4,3,4,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,2,3,2,3,2,2,2,3,3,3,3,3,4,3,4,3,3,3,4,4,3,3,4,4,3,4,3,3,4,4,3,3,4,3,4,3,4,4,4,3,4,2,3,3,4,4,3,3,2,3,3,4,2,3,3,2,3
3,2,3,4,3,4,3,2,2,3,2,3,3,2,3,3,2,3,3,4,3,3,3,3,3,2,3,3,3,3,3,4,3,4,3,4,4,4,3,2,2,3,3,3,2,3,3,4,4,3,4,3,4,3,3,4,3,3,2,2,4,3,3,3,3,3,4,4,4,2,3,4,4,3,4,4,3,3,4,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,2
2,2,3,2,3,3,3,4,2,3,2,3,2,2,3,3,3,3,3,4,3,3,3,2,4,3,4,4,3,4,4,3,3,3,3,4,4,4,3,3,2,3,3,3,3,2,2,3,2,4,4,4,4,4,3,4,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,3,3,3,4,3,3,3,3,2,2,4,4,4,4,3,3,3,4,4,3,3,3,3,2
3,2,3,4,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,2,4,2,3,2,2,2,3,2,3,3,4,3,3,2,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,4,4,3,3,3,3,3,3,2,2,3
2,2,4,2,3,3,3,3,3,3,2,3,4,2,3,2,2,3,3,4,3,3,4,2,4,3,3,3,3,4,4,3,3,4,3,3,3,4,3,3,1,3,3,4,2,3,3,4,2,3,4,4,4,3,3,4,3,4,3,1,3,3,3,3,4,3,3,4,3,2,3,3,4,4,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,4,3,2,3
2,2,3,2,4,3,3,3,3,3,2,3,2,2,4,3,2,3,4,4,4,4,3,3,3,3,3,4,3,3,3,3,4,4,3,3,4,4,4,2,2,3,3,3,3,3,3,3,2,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,4,3,3,3,3,4,2,2,3,3,3,2,3,2
3,2,3,4,3,3,2,3,2,2,3,3,3,2,3,3,2,3,3,3,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,4,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3,4,3,3,3,2,2,3,3,3,3,2,3,2
2,3,3,1,3,3,3,2,2,3,2,3,2,2,3,3,2,3,3,4,3,4,4,2,4,3,4,4,3,4,4,3,4,3,3,4,4,4,2,4,1,4,3,2,2,3,3,4,1,4,4,4,4,3,3,4,4,3,3,2,4,4,2,4,3,4,3,4,4,2,4,3,4,4,4,4,3,3,3,2,3,3,4,4,2,3,1,4,3,3,2,3,2,1,4
3,2,2,3,3,3,3,3,3,3,2,3,3,2,3,3,2,3,4,4,3,3,3,2,4,3,3,4,3,4,4,4,4,4,4,4,3,4,2,2,2,3,1,4,3,3,4,4,1,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,3,4,4,2,2,2,1,4
3,2,3,3,3,3,3,3,2,2,3,3,4,2,3,2,2,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,4,2,2,4,3,3,3,3,3,3,3,3,3,4,3,3,2,4,4,4,2,2,4,4,3,4,2,3,4,3,3,3,3,3,4,3,4,4,3,4,3,3,4,4,3,4,4,4,2,3,2,4,3,2,3,3,2
3,2,3,3,3,3,2,2,3,3,2,3,3,2,3,3,2,3,3,3,3,4,4,3,3,3,4,4,3,3,3,4,3,4,3,4,4,4,4,1,1,3,3,3,1,3,4,3,4,4,4,3,4,3,2,4,4,4,2,2,3,4,3,3,3,3,3,2,3,3,4,4,4,3,4,3,3,3,4,3,2,4,3,4,4,4,3,3,3,3,2,3,3,3,2
3,1,3,2,2,4,2,3,2,3,2,4,4,2,4,3,1,4,4,4,3,4,4,3,3,3,2,4,4,4,3,3,3,3,3,4,4,4,3,4,3,3,2,4,2,3,3,3,2,4,4,4,4,3,2,3,3,4,2,2,3,3,4,3,3,3,4,4,3,3,4,3,4,4,4,4,4,4,3,2,4,4,4,4,3,2,3,2,3,3,3,2,2,2,3
3,2,4,4,4,3,3,3,3,2,3,3,4,3,3,3,2,3,3,3,3,3,3,2,3,2,3,3,3,3,4,3,3,3,3,2,3,3,3,3,2,3,1,3,1,3,3,2,3,3,3,3,3,3,3,3,3,4,2,2,4,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,4,3,3,3,2,3,2,3,2,3,2,2,3
2,1,2,3,2,3,4,2,3,3,1,4,3,2,3,3,2,3,4,3,3,3,3,2,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,3,4,2,4,1,4,3,3,2,4,3,3,2
3,2,2,3,3,3,3,3,3,3,2,3,3,2,3,3,2,3,3,4,3,4,4,2,3,3,3,3,1,4,4,2,3,3,3,3,3,3,3,2,2,3,2,3,2,3,3,3,3,3,4,3,4,4,3,3,3,4,2,2,3,3,2,3,3,3,4,3,3,3,2,3,4,3,4,3,3,3,4,2,4,2,3,3,3,3,2,3,2,3,2,4,2,3,2
3,3,3,3,3,3,4,3,3,2,3,3,3,2,3,3,2,2,3,3,3,2,3,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,3,3,3,4,3,3,3,3,3,1,2,3,3,3,2,3,3,2,3,2,3,3,4,3,2,4,3,3,3,2,3,3,3,3,2,3,3,3,4,4,4,3,4,2,3,4,3,3,4,1
3,2,3,3,3,3,2,3,3,3,2,3,2,2,3,3,2,3,3,3,3,3,2,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,2,3,2,3,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,1,2,2,2,3,3,2,3,2,3
3,2,3,3,3,4,3,3,3,3,3,3,4,2,3,3,2,3,3,4,4,4,3,2,4,3,2,4,4,4,3,3,3,3,3,4,4,4,3,3,2,3,3,2,3,3,3,4,2,3,4,4,4,3,3,4,3,3,3,2,4,4,3,3,3,3,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,3,2,3,3,2,3,2,2,2,3
3,1,1,2,3,4,2,3,2,3,2,3,3,2,4,2,1,4,3,4,4,4,4,2,3,3,3,4,4,4,4,3,4,3,3,3,4,4,3,2,2,4,3,3,2,3,3,4,2,4,4,4,4,4,2,4,4,4,3,2,3,4,3,3,3,3,4,3,3,3,3,3,4,4,3,3,4,3,3,3,4,4,3,4,3,3,2,3,3,4,3,3,3,2,3
3,2,3,3,3,3,1,3,3,3,2,2,2,2,4,1,2,3,3,4,3,4,3,2,3,3,3,4,2,3,3,3,3,3,3,4,4,4,3,4,2,4,2,3,2,4,3,4,2,3,4,4,4,3,3,3,3,3,2,3,3,3,2,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,2,4,4,3,2,3,3,2,4,4,3,4,1
1,3,3,2,3,3,2,4,2,3,3,3,3,2,4,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,3,4,3,3,2,3,3,3,2,2,3,3,2,3,3,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,4,4,4,4,4,3,2,3,3,3,3,4,3,2,3
2,3,1,3,2,3,3,2,3,3,2,3,3,2,3,4,2,3,3,4,4,3,4,3,4,3,3,4,3,3,4,4,4,3,2,4,4,4,3,3,1,4,3,4,2,4,3,3,1,4,3,4,4,3,3,2,3,3,1,2,2,3,3,3,3,2,3,4,3,2,4,3,3,3,3,3,3,3,3,1,3,4,3,4,2,4,3,2,3,3,2,3,2,2,3
3,2,3,3,3,3,2,3,2,3,3,3,3,1,3,3,2,3,4,4,3,4,4,1,3,4,3,4,2,4,3,3,3,4,3,4,4,4,3,3,2,4,2,4,3,4,3,3,2,4,4,4,4,4,3,3,3,3,2,3,3,3,3,3,3,3,3,4,2,3,3,3,4,3,2,4,3,3,4,2,3,2,3,4,2,4,2,2,3,4,2,4,2,2,3
3,2,3,3,3,4,3,2,2,3,2,3,3,2,3,3,2,3,3,3,3,3,3,2,3,3,3,4,3,3,4,3,3,3,3,4,3,4,3,3,2,4,3,2,1,3,3,3,2,4,3,4,4,3,3,4,4,3,3,2,3,4,3,4,3,4,4,3,3,2,2,3,4,4,3,3,3,3,3,4,3,3,4,4,4,3,3,3,3,4,2,3,2,2,3
3,1,3,3,3,3,3,2,2,3,3,3,3,1,3,3,2,3,3,4,3,3,3,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,3,3,3,2,4,3,3,4,3,2,3,3,3,3,3,3,3,3,3,2,3,4,4,3,3,3,4,3,3,4,3,3,3,3,3,4,4,4,3,2,3,2,2,3,3,4,2,3,2,3
4,2,3,4,2,3,3,4,3,3,3,3,3,2,3,3,2,3,4,4,3,3,4,2,3,3,4,3,3,3,3,3,4,3,3,4,3,4,1,3,3,3,3,3,2,4,3,4,2,4,4,4,4,4,3,4,4,3,3,3,4,4,3,3,3,3,4,4,3,2,4,4,3,4,4,4,3,3,3,2,3,3,4,4,2,4,2,3,2,3,3,2,2,2,3
1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,3,3,3,3,4,3,3,3,3,3,4,3,3,3,4,3,3,2,3,3,3,2,3,2,3,2,4,4,4,4,4,4,4,4,3,3,2,4,4,4,3,3,4,4,4,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,2,4,4,3,3,3,2,3,2,2,3
3,2,2,3,3,3,2,2,3,2,3,3,3,3,3,3,2,3,3,3,3,4,3,1,3,3,3,3,2,3,4,3,3,3,3,4,3,3,2,3,3,3,3,3,2,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,2,3,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,2,3,2,3,2,3,3,3,3,3,3
3,2,1,3,4,3,3,3,2,2,3,3,4,2,4,3,2,4,4,4,4,4,4,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,2,3,3,4,4,4,1,4,4,4,4,4,3,4,4,4,3,4,4,4,3,4,3,4,4,4,3,3,3,3,4,4,4,4,4,4,3,2,3,4,4,4,3,3,3,1,3,4,3,3,2,2,3
3,3,2,3,3,3,2,3,3,3,3,2,3,2,3,2,2,3,3,4,3,3,4,2,3,3,3,4,3,3,3,3,3,4,3,4,4,4,2,2,2,4,2,2,2,3,3,4,2,3,4,4,4,3,3,4,3,3,2,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,3,3,2,3,2,3,4,3,4,4,3,2,3,3,4,3,3,2
2,2,3,3,2,4,3,3,2,2,4,3,2,2,2,3,2,3,3,4,3,3,4,3,4,3,4,4,4,3,3,3,3,4,3,3,4,4,2,4,2,2,3,2,3,3,3,3,3,4,4,4,4,3,3,3,3,2,4,4,3,3,2,3,3,3,4,4,4,3,4,3,3,3,3,3,3,3,3,2,3,3,4,4,3,3,2,3,3,2,4,3,3,3,2
3,3,2,4,4,3,3,3,3,3,3,2,3,3,2,3,1,3,3,4,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,4,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,4,4,3,2,3,3,3,4,4,4,4,3,3,1,2,4,3,4,3,3,3,3,2,3,3,3,3,3,2
3,2,3,2,3,3,3,3,2,2,3,2,3,2,3,3,3,3,3,4,3,4,3,2,2,3,3,3,4,3,3,3,3,3,3,3,3,4,3,4,1,4,2,3,4,3,3,3,2,3,4,4,4,3,3,3,4,2,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,2,3,4,3,2,2,3,2,3,3,3,2,2,2,2,3
3,2,2,3,3,4,2,3,2,2,2,2,3,3,4,4,1,4,4,4,4,4,4,1,4,4,3,4,3,4,4,4,4,3,4,3,4,4,3,3,2,4,3,3,2,4,4,4,2,4,4,4,4,4,3,4,4,4,3,2,4,4,2,4,3,4,4,4,3,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,4,2,3,4,4,1,3,1,1,4
3,3,2,3,3,3,2,3,2,3,3,2,4,4,4,3,1,4,3,4,3,4,4,2,4,2,3,4,3,3,4,3,3,4,4,4,4,4,3,3,1,3,2,3,2,3,4,4,2,4,4,4,4,4,3,4,4,4,3,3,4,4,3,4,3,4,4,4,3,4,4,3,4,3,4,4,4,3,3,2,3,3,4,4,3,4,2,2,3,3,2,3,2,2,3
3,2,4,2,4,4,2,3,3,3,2,3,4,2,4,3,3,4,3,4,3,4,4,2,3,3,3,3,4,3,3,3,3,3,4,4,3,4,3,3,2,4,3,3,1,3,2,3,2,3,4,3,4,3,3,4,4,2,2,3,3,4,4,3,3,3,4,4,3,2,3,3,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,3
2,2,3,2,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,3,3,3,2,3,3,3,2,3,3,3,3,3,2,3,3,3,3,2,3,3,4,3,3,3,4,4,3,2,3,3,4,3,4,3,4,3,3,3,4,3,4,3,3,3,2,3,2,2,3,2,3,2,3
4,2,3,2,3,3,2,2,3,3,2,3,3,2,3,4,3,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,3,3,3,4,4,2,3,1,4,3,3,2,3,4,4,1,4,4,4,4,4,3,4,4,4,3,3,4,4,2,3,3,4,4,4,3,1,3,4,4,4,4,3,4,3,3,4,4,3,4,4,3,4,2,4,2,3,2,3,3,3,2
3,3,3,3,3,3,2,3,2,3,2,4,2,3,4,3,2,3,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,4,3,3,4,4,3,3,2,3,2,4,3,4,4,4,2,4,4,4,4,3,3,4,4,4,2,2,4,4,3,4,3,4,4,4,4,2,3,4,4,4,4,3,4,3,4,1,4,4,4,4,3,4,2,4,2,2,1,4,4,4,1
3,2,3,4,4,3,3,2,2,3,2,4,3,1,3,1,2,3,3,4,4,4,4,1,3,2,3,4,4,4,3,2,3,3,3,3,4,4,3,3,2,4,2,3,2,4,3,3,1,4,4,3,4,3,3,4,4,4,2,1,4,4,4,4,2,4,4,4,3,2,3,4,4,4,4,4,4,3,4,3,4,4,3,2,3,3,2,4,3,3,2,3,3,2,3
1,2,4,3,3,3,3,3,2,3,1,2,2,3,3,1,2,3,3,4,3,4,4,1,4,3,4,4,3,4,4,4,3,3,3,4,3,4,3,3,2,4,3,3,2,3,3,3,2,4,4,3,4,3,3,2,4,3,3,2,3,4,2,3,3,4,4,4,3,2,4,3,3,3,3,3,3,3,3,2,3,3,4,3,4,4,3,2,2,3,3,4,4,4,1
3,2,4,3,3,3,3,2,2,3,3,2,3,1,3,3,2,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,1,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,2,3,4,2,3,2
3,3,3,2,3,4,3,3,3,2,3,3,3,2,3,3,2,3,3,4,3,4,4,3,3,3,2,3,3,3,4,4,3,3,3,3,4,4,2,3,3,3,2,3,1,3,3,3,2,3,4,3,4,4,2,4,3,3,2,2,3,3,3,3,3,3,4,4,4,2,4,4,4,4,4,3,4,3,3,3,3,4,4,4,2,4,1,3,3,3,3,3,3,3,2
4,3,3,2,3,3,3,3,4,3,3,3,3,3,3,3,1,3,3,4,4,4,4,2,4,3,4,4,3,4,4,4,4,3,3,3,4,4,2,3,2,4,3,2,3,3,3,4,3,4,4,4,4,3,2,3,3,3,4,3,4,4,3,3,1,4,4,4,3,2,3,3,4,4,3,4,3,3,3,3,3,3,4,4,3,3,1,3,1,3,3,3,2,2,3
2,3,2,4,2,3,2,2,3,2,3,3,3,2,2,3,3,2,3,3,3,3,4,2,3,3,4,4,4,4,4,4,4,3,3,4,3,4,4,3,1,3,2,3,2,3,2,3,2,4,4,4,4,4,4,4,4,3,3,2,3,4,3,4,3,3,3,3,2,2,3,4,4,4,4,3,4,3,3,1,4,4,3,4,2,1,2,3,3,3,2,3,2,2,3
2,3,3,4,2,3,3,3,3,3,2,3,3,2,3,4,3,2,3,4,3,4,4,2,4,3,3,4,3,4,4,4,3,4,3,4,4,4,2,3,1,4,2,3,2,3,3,4,2,4,4,4,4,3,3,4,3,2,3,3,3,3,3,3,2,3,4,4,2,2,3,3,4,4,4,4,3,4,2,3,3,3,3,3,3,4,2,3,3,2,2,4,2,2,3
